"","time","stock","variable","value","L1"
"1",1,5.5,"GP",6.01888588686822,1
"2",2,5.38413843748528,"GP",5.89114141102882,1
"3",3,5.63349720391605,"GP",6.1622970719598,1
"4",4,6.23265019241262,"GP",6.74950454522324,1
"5",5,5.9333894518779,"GP",6.46840818679605,1
"6",6,6.43873200063419,"GP",6.92764232572845,1
"7",7,7.08393550659268,"GP",7.39613964291089,1
"8",8,7.30639119770539,"GP",7.52438708715875,1
"9",9,7.47384462790079,"GP",7.60923652090813,1
"10",10,7.56750009954894,"GP",7.6522709997623,1
"11",11,7.49369682729906,"GP",7.6186239806853,1
"12",12,7.6114813852542,"GP",7.67138212470924,1
"13",13,7.47410985305863,"GP",7.60936243230595,1
"14",14,7.48792723491738,"GP",7.61591030371333,1
"15",15,7.81720798400267,"GP",7.75143547183194,1
"16",16,8.33442690486934,"GP",7.88504080063408,1
"17",17,8.00473240004931,"GP",7.81100844489575,1
"18",18,7.7993319230127,"GP",7.74509006576218,1
"19",19,7.58393789226019,"GP",7.65949602317111,1
"20",20,7.52153469764064,"GP",7.63154744773321,1
"21",21,8.81331853844151,"GP",7.92481204188224,1
"22",22,8.05302965667377,"GP",7.82429017190282,1
"23",23,7.81820251586818,"GP",7.75178478433864,1
"24",24,7.77130394886346,"GP",7.73490704753658,1
"25",25,8.11101700532457,"GP",7.83912625018086,1
"26",26,7.75039845686052,"GP",7.72712608495759,1
"27",27,7.36535500887976,"GP",7.55541672152119,1
"28",28,7.94415397492145,"GP",7.79315770225938,1
"29",29,7.58666139683521,"GP",7.66068345085492,1
"30",30,7.83848973507748,"GP",7.75883808558146,1
"31",31,7.58805396036932,"GP",7.66128976075282,1
"32",32,8.28964272603427,"GP",7.87725887347605,1
"33",33,7.85736696297526,"GP",7.76526670045285,1
"34",34,7.68073808953333,"GP",7.70005036984464,1
"35",35,7.69367293087691,"GP",7.70521139578334,1
"36",36,7.27707793828183,"GP",7.50849653961145,1
"37",37,7.22675867864241,"GP",7.48050177239215,1
"38",38,6.83868573815973,"GP",7.2346087803529,1
"39",39,6.83648550214447,"GP",7.23306592235678,1
"40",40,7.20181723741119,"GP",7.4662910400545,1
"41",1,5.5,"True",5.5,1
"42",2,5.38413843748528,"True",5.71909509234927,1
"43",3,5.63349720391605,"True",5.55589185513903,1
"44",4,6.23265019241262,"True",5.90370178618359,1
"45",5,5.9333894518779,"True",6.67173877524302,1
"46",6,6.43873200063419,"True",6.30205261336741,1
"47",7,7.08393550659268,"True",6.90694081465175,1
"48",8,7.30639119770539,"True",7.51940091826339,1
"49",9,7.47384462790079,"True",7.68093385361522,1
"50",10,7.56750009954894,"True",7.78411699548506,1
"51",11,7.49369682729906,"True",7.83471214587007,1
"52",12,7.6114813852542,"True",7.79527242741411,1
"53",13,7.47410985305863,"True",7.85668177462676,1
"54",14,7.48792723491738,"True",7.78426755170921,1
"55",15,7.81720798400267,"True",7.79205414139718,1
"56",16,8.33442690486934,"True",7.94402483682204,1
"57",17,8.00473240004931,"True",8.04899461841792,1
"58",18,7.7993319230127,"True",8.00117618839111,1
"59",19,7.58393789226019,"True",7.93745223401644,1
"60",20,7.52153469764064,"True",7.84305779571762,1
"61",21,8.81331853844151,"True",7.81052582472943,1
"62",22,8.05302965667377,"True",7.9992194205289,1
"63",23,7.81820251586818,"True",8.01238897490497,1
"64",24,7.77130394886346,"True",7.94438478141476,1
"65",25,8.11101700532457,"True",7.92675534291566,1
"66",26,7.75039845686052,"True",8.02394557755947,1
"67",27,7.36535500887976,"True",7.9184659701507,1
"68",28,7.94415397492145,"True",7.71910575940164,1
"69",29,7.58666139683521,"True",7.98507689954144,1
"70",30,7.83848973507748,"True",7.84442505165979,1
"71",31,7.58805396036932,"True",7.95159544456624,1
"72",32,8.28964272603427,"True",7.84512244370179,1
"73",33,7.85736696297526,"True",8.04645170503523,1
"74",34,7.68073808953333,"True",7.95807908556951,1
"75",35,7.69367293087691,"True",7.88893541072923,1
"76",36,7.27707793828183,"True",7.89464019574851,1
"77",37,7.22675867864241,"True",7.66122262941851,1
"78",38,6.83868573815973,"True",7.62625997965728,1
"79",39,6.83648550214447,"True",7.31058606585156,1
"80",40,7.20181723741119,"True",7.30857328161409,1
"81",1,5.5,"MLE",5.5,1
"82",2,5.38413843748528,"MLE",4.90283933778807,1
"83",3,5.63349720391605,"MLE",4.723108430783,1
"84",4,6.23265019241262,"MLE",5.10911813326201,1
"85",5,5.9333894518779,"MLE",6.00548713519819,1
"86",6,6.43873200063419,"MLE",5.56578037222135,1
"87",7,7.08393550659268,"MLE",6.2946808349879,1
"88",8,7.30639119770539,"MLE",7.09677079480657,1
"89",9,7.47384462790079,"MLE",7.32737992114767,1
"90",10,7.56750009954894,"MLE",7.48261705897231,1
"91",11,7.49369682729906,"MLE",7.56213973802743,1
"92",12,7.6114813852542,"MLE",7.4999201572615,1
"93",13,7.47410985305863,"MLE",7.59761616102427,1
"94",14,7.48792723491738,"MLE",7.48284979593391,1
"95",15,7.81720798400267,"MLE",7.49491596102417,1
"96",16,8.33442690486934,"MLE",7.74718321396547,1
"97",17,8.00473240004931,"MLE",7.99715757973881,1
"98",18,7.7993319230127,"MLE",7.85916229120686,1
"99",19,7.58393789226019,"MLE",7.73527902111483,1
"100",20,7.52153469764064,"MLE",7.57554015050174,1
"101",21,8.81331853844151,"MLE",7.52378081188033,1
"102",22,8.05302965667377,"MLE",8.05934048244258,1
"103",23,7.81820251586818,"MLE",7.88412639512122,1
"104",24,7.77130394886346,"MLE",7.74783929813397,1
"105",25,8.11101700532457,"MLE",7.71619057282209,1
"106",26,7.75039845686052,"MLE",7.91196674499667,1
"107",27,7.36535500887976,"MLE",7.70161765465474,1
"108",28,7.94415397492145,"MLE",7.38390726650975,1
"109",29,7.58666139683521,"MLE",7.82558839247405,1
"110",30,7.83848973507748,"MLE",7.57774416130202,1
"111",31,7.58805396036932,"MLE",7.76107947314545,1
"112",32,8.28964272603427,"MLE",7.57886931310223,1
"113",33,7.85736696297526,"MLE",7.98291392336278,1
"114",34,7.68073808953333,"MLE",7.773153632438,1
"115",35,7.69367293087691,"MLE",7.65101059327952,1
"116",36,7.27707793828183,"MLE",7.66064416537815,1
"117",37,7.22675867864241,"MLE",7.29854183380439,1
"118",38,6.83868573815973,"MLE",7.24791923803675,1
"119",39,6.83648550214447,"MLE",6.81319356312505,1
"120",40,7.20181723741119,"MLE",6.81052119267511,1
"121",1,5.5,"Allen",5.5,1
"122",2,5.38413843748528,"Allen",5.71791550177951,1
"123",3,5.63349720391605,"Allen",5.60524947472772,1
"124",4,6.23265019241262,"Allen",5.84652970768886,1
"125",5,5.9333894518779,"Allen",6.40650624628123,1
"126",6,6.43873200063419,"Allen",6.13048828696123,1
"127",7,7.08393550659268,"Allen",6.5920113121573,1
"128",8,7.30639119770539,"Allen",7.14649509487838,1
"129",9,7.47384462790079,"Allen",7.32775176905364,1
"130",10,7.56750009954894,"Allen",7.46062796243634,1
"131",11,7.49369682729906,"Allen",7.53357504948118,1
"132",12,7.6114813852542,"Allen",7.4761734343498,1
"133",13,7.47410985305863,"Allen",7.56748727271213,1
"134",14,7.48792723491738,"Allen",7.460835942117,1
"135",15,7.81720798400267,"Allen",7.47166007050578,1
"136",16,8.33442690486934,"Allen",7.72314500636349,1
"137",17,8.00473240004931,"Allen",8.0921235652437,1
"138",18,7.7993319230127,"Allen",7.8606816626434,1
"139",19,7.58393789226019,"Allen",7.70981577232321,1
"140",20,7.52153469764064,"Allen",7.54627546542108,1
"141",21,8.81331853844151,"Allen",7.49789727929203,1
"142",22,8.05302965667377,"Allen",8.40386911340295,1
"143",23,7.81820251586818,"Allen",7.89541988442137,1
"144",24,7.77130394886346,"Allen",7.72388546927376,1
"145",25,8.11101700532457,"Allen",7.68884106455755,1
"146",26,7.75039845686052,"Allen",7.93675284035413,1
"147",27,7.36535500887976,"Allen",7.67313642729433,1
"148",28,7.94415397492145,"Allen",7.37489477938502,1
"149",29,7.58666139683521,"Allen",7.8167115601881,1
"150",30,7.83848973507748,"Allen",7.54837676051384,1
"151",31,7.58805396036932,"Allen",7.738964486632,1
"152",32,8.28964272603427,"Allen",7.54945085253797,1
"153",33,7.85736696297526,"Allen",8.0614757559511,1
"154",34,7.68073808953333,"Allen",7.75295173101497,1
"155",35,7.69367293087691,"Allen",7.62043787979339,1
"156",36,7.27707793828183,"Allen",7.63026585149779,1
"157",37,7.22675867864241,"Allen",7.30417316044995,1
"158",38,6.83868573815973,"Allen",7.26347987246981,1
"159",39,6.83648550214447,"Allen",6.94062415710662,1
"160",40,7.20181723741119,"Allen",6.93874932828392,1
"161",1,5.5,"Ricker",5.5,1
"162",2,5.38413843748528,"Ricker",5.54431144732929,1
"163",3,5.63349720391605,"Ricker",5.42789196815944,1
"164",4,6.23265019241262,"Ricker",5.67843148399081,1
"165",5,5.9333894518779,"Ricker",6.28011607916307,1
"166",6,6.43873200063419,"Ricker",5.97964478503779,1
"167",7,7.08393550659268,"Ricker",6.48696896951969,1
"168",8,7.30639119770539,"Ricker",7.13425681428017,1
"169",9,7.47384462790079,"Ricker",7.35731530077982,1
"170",10,7.56750009954894,"Ricker",7.52518330811591,1
"171",11,7.49369682729906,"Ricker",7.61905597856318,1
"172",12,7.6114813852542,"Ricker",7.54508242621749,1
"173",13,7.47410985305863,"Ricker",7.66313563101052,1
"174",14,7.48792723491738,"Ricker",7.52544916322368,1
"175",15,7.81720798400267,"Ricker",7.539299246721,1
"176",16,8.33442690486934,"Ricker",7.86929153546608,1
"177",17,8.00473240004931,"Ricker",8.38736554123021,1
"178",18,7.7993319230127,"Ricker",8.05716304544244,1
"179",19,7.58393789226019,"Ricker",7.85138018519987,1
"180",20,7.52153469764064,"Ricker",7.63553080696083,1
"181",21,8.81331853844151,"Ricker",7.57298529216,1
"182",22,8.05302965667377,"Ricker",8.86676292968627,1
"183",23,7.81820251586818,"Ricker",8.1055428667992,1
"184",24,7.77130394886346,"Ricker",7.87028801938927,1
"185",25,8.11101700532457,"Ricker",7.82329610915706,1
"186",26,7.75039845686052,"Ricker",8.16362564998143,1
"187",27,7.36535500887976,"Ricker",7.80234815835144,1
"188",28,7.94415397492145,"Ricker",7.41642893116472,1
"189",29,7.58666139683521,"Ricker",7.99647710580738,1
"190",30,7.83848973507748,"Ricker",7.63826041650874,1
