"","allee","replicate","sim","value","noise","L1"
"1",1,"1","1",0.9765625,0.05,1
"2",1,"2","1",0.976982097186701,0.05,1
"3",1,"3","1",0.972826086956522,0.05,1
"4",1,"4","1",0.976377952755906,0.05,1
"5",1,"5","1",0.973614775725594,0.05,1
"6",1,"6","1",0.978947368421053,0.05,1
"7",1,"7","1",0.97948717948718,0.05,1
"8",1,"8","1",0.973333333333333,0.05,1
"9",1,"9","1",0.978947368421053,0.05,1
"10",1,"10","1",0.975935828877005,0.05,1
"11",1,"11","1",0.973544973544973,0.05,1
"12",1,"12","1",0.976315789473684,0.05,1
"13",1,"13","1",0.975871313672922,0.05,1
"14",1,"14","1",0.969359331476323,0.05,1
"15",1,"15","1",0.976063829787234,0.05,1
"16",1,"16","1",0.973821989528796,0.05,1
"17",1,"17","1",0.976,0.05,1
"18",1,"18","1",0.978835978835979,0.05,1
"19",1,"19","1",0.979166666666667,0.05,1
"20",1,"20","1",0.973614775725594,0.05,1
"21",1,"21","1",0.973045822102426,0.05,1
"22",1,"22","1",0.976439790575916,0.05,1
"23",1,"23","1",0.978891820580475,0.05,1
"24",1,"24","1",0.975206611570248,0.05,1
"25",1,"25","1",0.979328165374677,0.05,1
"26",1,"26","1",0.979057591623037,0.05,1
"27",1,"27","1",0.98014888337469,0.05,1
"28",1,"28","1",0.974504249291785,0.05,1
"29",1,"29","1",0.976377952755906,0.05,1
"30",1,"30","1",0.979591836734694,0.05,1
"31",1,"31","1",0.976,0.05,1
"32",1,"32","1",0.979220779220779,0.05,1
"33",1,"33","1",0.978494623655914,0.05,1
"34",1,"34","1",0.973118279569892,0.05,1
"35",1,"35","1",0.978609625668449,0.05,1
"36",1,"36","1",0.9765625,0.05,1
"37",1,"37","1",0.975675675675676,0.05,1
"38",1,"38","1",0.979848866498741,0.05,1
"39",1,"39","1",0.975609756097561,0.05,1
"40",1,"40","1",0.975675675675676,0.05,1
"41",1,"41","1",0.976253298153034,0.05,1
"42",1,"42","1",0.973333333333333,0.05,1
"43",1,"43","1",0.973262032085562,0.05,1
"44",1,"44","1",0.973474801061008,0.05,1
"45",1,"45","1",0.976439790575916,0.05,1
"46",1,"46","1",0.973544973544973,0.05,1
"47",1,"47","1",0.976190476190476,0.05,1
"48",1,"48","1",0.977040816326531,0.05,1
"49",1,"49","1",0.976315789473684,0.05,1
"50",1,"50","1",0.97680412371134,0.05,1
"51",1,"51","1",0.973890339425587,0.05,1
"52",1,"52","1",0.972067039106145,0.05,1
"53",1,"53","1",0.97289972899729,0.05,1
"54",1,"54","1",0.976623376623377,0.05,1
"55",1,"55","1",0.981818181818182,0.05,1
"56",1,"56","1",0.976623376623377,0.05,1
"57",1,"57","1",0.976253298153034,0.05,1
"58",1,"58","1",0.973890339425587,0.05,1
"59",1,"59","1",0.976683937823834,0.05,1
"60",1,"60","1",0.979643765903308,0.05,1
"61",1,"61","1",0.971354166666667,0.05,1
"62",1,"62","1",0.975806451612903,0.05,1
"63",1,"63","1",0.98014888337469,0.05,1
"64",1,"64","1",0.974424552429668,0.05,1
"65",1,"65","1",0.975871313672922,0.05,1
"66",1,"66","1",0.979328165374677,0.05,1
"67",1,"67","1",0.976439790575916,0.05,1
"68",1,"68","1",0.984886649874055,0.05,1
"69",1,"69","1",0.978891820580475,0.05,1
"70",1,"70","1",0.97911227154047,0.05,1
"71",1,"71","1",0.972527472527473,0.05,1
"72",1,"72","1",0.976863753213367,0.05,1
