"","model","parameters","replicate","simulation","noise","value"
"1","Allen","C","1","1","0.01",0.994565217391304
"2","Allen","C","2","1","0.01",0.994623655913978
"3","Allen","C","3","1","0.01",0.994444444444445
"4","Allen","C","4","1","0.01",0.994565217391304
"5","Allen","C","5","1","0.01",0.994535519125683
"6","Allen","C","6","1","0.01",0.994535519125683
"7","Allen","C","7","1","0.01",0.994623655913978
"8","Allen","C","8","1","0.01",0.994505494505495
"9","Allen","C","9","1","0.01",0.994535519125683
"10","Allen","C","10","1","0.01",0.994505494505495
"11","Allen","C","11","1","0.01",0.994535519125683
"12","Allen","C","12","1","0.01",0.994535519125683
"13","Allen","C","13","1","0.01",1
"14","Allen","C","14","1","0.01",0.99438202247191
"15","Allen","C","15","1","0.01",0.994505494505495
"16","Allen","C","16","1","0.01",1
"17","Allen","C","17","1","0.01",0.994505494505495
"18","Allen","C","18","1","0.01",0.994535519125683
"19","Allen","C","19","1","0.01",0.994565217391304
"20","Allen","C","20","1","0.01",0.994535519125683
"21","Allen","C","21","1","0.01",0.994475138121547
"22","Allen","C","22","1","0.01",0.994565217391304
"23","Allen","C","23","1","0.01",0.994535519125683
"24","Allen","C","24","1","0.01",0.994413407821229
"25","Allen","C","25","1","0.01",0.994594594594595
"26","Allen","C","26","1","0.01",0.994565217391304
"27","Allen","C","27","1","0.01",1
"28","Allen","C","28","1","0.01",0.994350282485876
"29","Allen","C","29","1","0.01",0.994565217391304
"30","Allen","C","30","1","0.01",0.994623655913979
"31","Allen","C","31","1","0.01",1
"32","Allen","C","32","1","0.01",1
"33","Allen","C","33","1","0.01",1
"34","Allen","C","34","1","0.01",0.994475138121547
"35","Allen","C","35","1","0.01",0.994505494505495
"36","Allen","C","36","1","0.01",0.994565217391304
"37","Allen","C","37","1","0.01",0.994475138121547
"38","Allen","C","38","1","0.01",1
"39","Allen","C","39","1","0.01",0.994475138121547
"40","Allen","C","40","1","0.01",0.994475138121547
"41","Allen","C","41","1","0.01",0.994535519125683
"42","Allen","C","42","1","0.01",0.994505494505495
"43","Allen","C","43","1","0.01",0.994505494505495
"44","Allen","C","44","1","0.01",0.994535519125683
"45","Allen","C","45","1","0.01",0.994565217391304
"46","Allen","C","46","1","0.01",0.994535519125683
"47","Allen","C","47","1","0.01",0.994535519125683
"48","Allen","C","48","1","0.01",0.994623655913978
"49","Allen","C","49","1","0.01",0.994535519125683
"50","Allen","C","50","1","0.01",0.994594594594595
"51","Allen","C","51","1","0.01",0.994565217391304
"52","Allen","C","52","1","0.01",0.99438202247191
"53","Allen","C","53","1","0.01",0.994475138121547
"54","Allen","C","54","1","0.01",0.994594594594595
"55","Allen","C","55","1","0.01",0.994594594594595
"56","Allen","C","56","1","0.01",1
"57","Allen","C","57","1","0.01",0.994535519125683
"58","Allen","C","58","1","0.01",0.994565217391304
"59","Allen","C","59","1","0.01",0.994594594594595
"60","Allen","C","60","1","0.01",0.994623655913978
"61","Allen","C","61","1","0.01",0.994565217391304
"62","Allen","C","62","1","0.01",0.994475138121547
"63","Allen","C","63","1","0.01",0.994708994708995
"64","Allen","C","64","1","0.01",0.994623655913979
