"","allee","replicate","sim","value","noise","L1"
"1",4,"1","1",0.993150684931507,0.01,1
"2",4,"2","1",1,0.01,1
"3",4,"3","1",0.992366412213741,0.01,1
"4",4,"4","1",0.993006993006993,0.01,1
"5",4,"5","1",0.99290780141844,0.01,1
"6",4,"6","1",1,0.01,1
"7",4,"7","1",1,0.01,1
"8",4,"8","1",0.992700729927007,0.01,1
"9",4,"9","1",0.992957746478873,0.01,1
"10",4,"10","1",1,0.01,1
"11",4,"11","1",0.992857142857143,0.01,1
"12",4,"12","1",0.992957746478873,0.01,1
"13",4,"13","1",1,0.01,1
"14",4,"14","1",0.991869918699187,0.01,1
"15",4,"15","1",0.992805755395683,0.01,1
"16",4,"16","1",1,0.01,1
"17",4,"17","1",0.992700729927007,0.01,1
"18",4,"18","1",1,0.01,1
"19",4,"19","1",1,0.01,1
"20",4,"20","1",0.99290780141844,0.01,1
"21",4,"21","1",1,0.01,1
"22",4,"22","1",0.993055555555555,0.01,1
"23",4,"23","1",0.992957746478873,0.01,1
"24",4,"24","1",0.992063492063492,0.01,1
"25",4,"25","1",1,0.01,1
"26",4,"26","1",1,0.01,1
"27",4,"27","1",1.00617283950617,0.01,1
"28",4,"28","1",0.991525423728813,0.01,1
"29",4,"29","1",0.993006993006993,0.01,1
"30",4,"30","1",1,0.01,1
"31",4,"31","1",1,0.01,1
"32",4,"32","1",1,0.01,1
"33",4,"33","1",0.992592592592593,0.01,1
"34",4,"34","1",0.992592592592593,0.01,1
"35",4,"35","1",0.992700729927007,0.01,1
"36",4,"36","1",1,0.01,1
"37",4,"37","1",0.992481203007519,0.01,1
"38",4,"38","1",1.00636942675159,0.01,1
"39",4,"39","1",0.992424242424242,0.01,1
"40",4,"40","1",1,0.01,1
"41",4,"41","1",0.99290780141844,0.01,1
"42",4,"42","1",0.992753623188406,0.01,1
"43",4,"43","1",1,0.01,1
"44",4,"44","1",1,0.01,1
"45",4,"45","1",1,0.01,1
"46",4,"46","1",0.992857142857143,0.01,1
"47",4,"47","1",1,0.01,1
"48",4,"48","1",1,0.01,1
"49",4,"49","1",0.992957746478873,0.01,1
"50",4,"50","1",0.993288590604027,0.01,1
"51",4,"51","1",1,0.01,1
"52",4,"52","1",0.983739837398374,0.01,1
"53",4,"53","1",0.992424242424242,0.01,1
"54",4,"54","1",1,0.01,1
"55",4,"55","1",0.993197278911565,0.01,1
"56",4,"56","1",1,0.01,1
"57",4,"57","1",0.99290780141844,0.01,1
"58",4,"58","1",1,0.01,1
"59",4,"59","1",1,0.01,1
"60",4,"60","1",1,0.01,1
"61",4,"61","1",0.993103448275862,0.01,1
"62",4,"62","1",0.992592592592593,0.01,1
"63",4,"63","1",1,0.01,1
"64",4,"64","1",1,0.01,1
"65",4,"65","1",0.99264705882353,0.01,1
"66",4,"66","1",1,0.01,1
"67",4,"67","1",1,0.01,1
"68",4,"68","1",1,0.01,1
"69",4,"69","1",1,0.01,1
"70",4,"70","1",1,0.01,1
"71",4,"71","1",0.984375,0.01,1
"72",4,"72","1",0.993333333333333,0.01,1
"73",4,"73","1",1,0.01,1
"74",4,"74","1",0.992805755395683,0.01,1
"75",4,"75","1",1,0.01,1
"76",4,"76","1",0.9921875,0.01,1
"77",4,"77","1",0.991935483870968,0.01,1
"78",4,"78","1",1,0.01,1
"79",4,"79","1",0.993589743589744,0.01,1
"80",4,"80","1",0.992424242424242,0.01,1
"81",4,"81","1",1.00680272108844,0.01,1
"82",4,"82","1",0.992125984251969,0.01,1
"83",4,"83","1",0.992805755395683,0.01,1
"84",4,"84","1",1,0.01,1
"85",4,"85","1",0.992700729927007,0.01,1
"86",4,"86","1",1,0.01,1
"87",4,"87","1",1,0.01,1
"88",4,"88","1",0.992857142857143,0.01,1
"89",4,"89","1",1,0.01,1
"90",4,"90","1",0.992857142857143,0.01,1
"91",4,"91","1",1,0.01,1
"92",4,"92","1",0.992957746478873,0.01,1
"93",4,"93","1",0.984962406015037,0.01,1
"94",4,"94","1",0.992125984251969,0.01,1
"95",4,"95","1",1,0.01,1
"96",4,"96","1",1,0.01,1
"97",4,"97","1",0.993055555555555,0.01,1
"98",4,"98","1",0.992424242424242,0.01,1
"99",4,"99","1",0.993055555555555,0.01,1
"100",4,"100","1",0.992481203007519,0.01,1
"101",4,"1","2",0.993150684931507,0.01,1
"102",4,"2","2",1,0.01,1
"103",4,"3","2",0.992366412213741,0.01,1
