"","index","variable","value","chain"
"1",1,"K",7.57937910268722,1
"2",2,"K",7.41159995069118,1
"3",3,"K",16.121200464143,1
"4",4,"K",7.72988065472196,1
"5",5,"K",4.80636087448987,1
"6",6,"K",7.96054911353984,1
"7",7,"K",7.62015916318743,1
"8",8,"K",7.61176417516419,1
"9",9,"K",8.69105181950103,1
"10",10,"K",7.64607478850048,1
"11",11,"K",7.6036600167364,1
"12",12,"K",7.82003008234621,1
"13",13,"K",7.65978648171129,1
"14",14,"K",3.92346318336717,1
"15",15,"K",7.8266409781241,1
"16",16,"K",7.8946466468578,1
"17",17,"K",4.48623693172791,1
"18",18,"K",7.67677505014347,1
"19",19,"K",7.69363106968204,1
"20",20,"K",7.56329237458574,1
"21",21,"K",7.49195139418185,1
"22",22,"K",8.01155596038227,1
"23",23,"K",7.4906532095195,1
"24",24,"K",7.46926625487526,1
"25",25,"K",7.7743349824552,1
"26",26,"K",3.52969554824788,1
"27",27,"K",5.2062261918648,1
"28",28,"K",7.47029403423778,1
"29",29,"K",4.95693833685169,1
"30",30,"K",4.31283073512714,1
"31",31,"K",7.77352144239445,1
"32",32,"K",7.99725491532872,1
"33",33,"K",5.27199741635928,1
"34",34,"K",7.48672450771052,1
"35",35,"K",7.46599270158832,1
"36",36,"K",5.74606006844198,1
"37",37,"K",7.88016555961754,1
"38",38,"K",7.75928264370588,1
"39",39,"K",7.71337188612425,1
"40",40,"K",7.62848438800663,1
"41",41,"K",7.64222429157409,1
"42",42,"K",7.6084013185979,1
"43",43,"K",7.41905758681297,1
"44",44,"K",7.73464797491778,1
"45",45,"K",7.88900963337583,1
"46",46,"K",7.45054030379581,1
"47",47,"K",4.83380964125349,1
"48",48,"K",7.79201377395478,1
"49",49,"K",7.38224006907703,1
"50",50,"K",7.71128283929657,1
"51",51,"K",7.56865098820705,1
"52",52,"K",7.71924838513067,1
"53",53,"K",9.75083940435437,1
"54",54,"K",5.2672622612173,1
"55",55,"K",7.7665051735561,1
"56",56,"K",7.68679425412119,1
"57",57,"K",7.88160203245362,1
"58",58,"K",7.74437642410854,1
"59",59,"K",5.84582508887075,1
"60",60,"K",7.92321311038446,1
"61",61,"K",8.32358370353466,1
"62",62,"K",7.51199215504354,1
"63",63,"K",4.389087554358,1
"64",64,"K",7.58914758405765,1
"65",65,"K",5.00902540948411,1
"66",66,"K",7.76567750121677,1
"67",67,"K",7.49116688337512,1
"68",68,"K",7.91389973759445,1
"69",69,"K",7.61642355143941,1
"70",70,"K",7.64356728039105,1
"71",71,"K",7.68646713897534,1
"72",72,"K",7.37087228470145,1
"73",73,"K",7.57168133625152,1
"74",74,"K",7.79186681558507,1
"75",75,"K",8.04229351217488,1
"76",76,"K",7.96271316364706,1
"77",77,"K",3.96720390621273,1
"78",78,"K",7.7804228885901,1
"79",79,"K",7.9147704967654,1
"80",80,"K",7.34622308326963,1
"81",81,"K",7.70340030205042,1
"82",82,"K",3.50473369543817,1
"83",83,"K",7.75016965724782,1
"84",84,"K",7.54067265767841,1
"85",85,"K",7.6956097779234,1
"86",86,"K",5.17387545956774,1
"87",87,"K",7.52960460948503,1
"88",88,"K",9.56469344638466,1
"89",89,"K",8.00269349908866,1
"90",90,"K",7.31297342624558,1
"91",91,"K",7.46830047442366,1
"92",92,"K",3.34493206142884,1
"93",93,"K",7.70831643440067,1
"94",94,"K",7.5002636233161,1
"95",95,"K",7.63975677215873,1
"96",96,"K",7.75676988420845,1
"97",97,"K",5.59332902666828,1
"98",98,"K",7.92869256418152,1
"99",99,"K",7.64943256789949,1
"100",100,"K",7.95275572428437,1
"101",101,"K",7.84550459842235,1
"102",102,"K",7.4724478791015,1
"103",103,"K",6.10005072437337,1
"104",104,"K",7.88177980898199,1
"105",105,"K",7.81089886276443,1
"106",106,"K",7.4980677308617,1
"107",107,"K",5.26055272639742,1
"108",108,"K",4.44220447747571,1
"109",109,"K",7.81565680945621,1
"110",110,"K",7.80622935052585,1
"111",111,"K",7.53732822838982,1
"112",112,"K",7.56533027939615,1
"113",113,"K",7.76842875325643,1
"114",114,"K",4.5486641585102,1
"115",115,"K",7.85862258200633,1
"116",116,"K",7.6894325819203,1
"117",117,"K",7.98765191047051,1
"118",118,"K",7.8908046650673,1
"119",119,"K",7.60824442598228,1
"120",120,"K",7.57011708139001,1
"121",121,"K",3.37089058107047,1
"122",122,"K",7.77472412413333,1
"123",123,"K",9.14472100691375,1
"124",124,"K",7.79362900250823,1
"125",125,"K",7.86887344883842,1
"126",126,"K",4.90448003671976,1
"127",127,"K",7.7462230114656,1
"128",128,"K",7.74039088139712,1
"129",129,"K",7.54329004053521,1
"130",130,"K",7.06315513005875,1
"131",131,"K",6.89503976786613,1
"132",132,"K",8.04518620501442,1
"133",133,"K",7.79254522216503,1
"134",134,"K",7.59698153246692,1
"135",135,"K",7.7287531781354,1
"136",136,"K",7.65040977263489,1
"137",137,"K",7.77496047381087,1
"138",138,"K",7.7624562246098,1
"139",139,"K",7.64237742760342,1
"140",140,"K",7.65644199937148,1
"141",141,"K",7.67891984885806,1
"142",142,"K",7.82892545756558,1
"143",143,"K",7.66284579799169,1
"144",144,"K",7.80261882297184,1
"145",145,"K",7.91985286497359,1
"146",146,"K",7.67387147561412,1
"147",147,"K",7.88126380983725,1
