"","index","variable","value","chain"
"1",1,"deviance",35.8895367351415,1
"2",2,"deviance",47.0116851184148,1
"3",3,"deviance",47.2420374293192,1
"4",4,"deviance",38.9798248376519,1
"5",5,"deviance",36.3336271580615,1
"6",6,"deviance",35.2580099790756,1
"7",7,"deviance",36.8617626843131,1
"8",8,"deviance",35.3500372650936,1
"9",9,"deviance",34.6555455282252,1
"10",10,"deviance",35.6498193767413,1
"11",11,"deviance",36.4208154933062,1
"12",12,"deviance",35.312579893533,1
"13",13,"deviance",37.4661156389695,1
"14",14,"deviance",37.9839377591733,1
"15",15,"deviance",37.328240170876,1
"16",16,"deviance",34.75320922187,1
"17",17,"deviance",35.3559462546534,1
"18",18,"deviance",38.8584688969825,1
"19",19,"deviance",35.0635913930411,1
"20",20,"deviance",35.7559005783184,1
"21",21,"deviance",35.8684967305805,1
"22",22,"deviance",36.0455839496597,1
"23",23,"deviance",36.2454027888638,1
"24",24,"deviance",37.1285037696711,1
"25",25,"deviance",35.2496305972311,1
"26",26,"deviance",34.4855993950856,1
"27",27,"deviance",36.651646694647,1
"28",28,"deviance",36.4557580638064,1
"29",29,"deviance",36.6903924863259,1
"30",30,"deviance",40.0009757236339,1
"31",31,"deviance",37.7257225257374,1
"32",32,"deviance",43.5185661386755,1
"33",33,"deviance",37.2674930771326,1
"34",34,"deviance",37.1717788209809,1
"35",35,"deviance",41.1375416104148,1
"36",36,"deviance",36.1929269377711,1
"37",37,"deviance",35.8779944616602,1
"38",38,"deviance",35.8866765780224,1
"39",39,"deviance",36.4550113373224,1
"40",40,"deviance",45.1485282411023,1
"41",41,"deviance",34.7331326772026,1
"42",42,"deviance",43.7321322220121,1
"43",43,"deviance",43.3792387884165,1
"44",44,"deviance",44.1236301100003,1
"45",45,"deviance",35.8734940302216,1
"46",46,"deviance",34.5024575402019,1
"47",47,"deviance",36.4986315772524,1
"48",48,"deviance",37.1143122351999,1
"49",49,"deviance",36.6989795398931,1
"50",50,"deviance",38.3301173664883,1
"51",51,"deviance",43.3551037696953,1
"52",52,"deviance",36.6826296242872,1
"53",53,"deviance",37.1095401591445,1
"54",54,"deviance",37.7159680986339,1
"55",55,"deviance",34.5553322636477,1
"56",56,"deviance",46.2197649126817,1
"57",57,"deviance",41.711763413257,1
"58",58,"deviance",34.9008185908045,1
"59",59,"deviance",36.2879418254111,1
"60",60,"deviance",39.4388036638239,1
"61",61,"deviance",42.1001966084294,1
"62",62,"deviance",38.8490203232694,1
"63",63,"deviance",37.8563459985981,1
"64",64,"deviance",37.5246645834298,1
"65",65,"deviance",37.176942544411,1
"66",66,"deviance",35.3816787793498,1
"67",67,"deviance",38.9442028299917,1
"68",68,"deviance",35.8527003346128,1
"69",69,"deviance",39.753034887582,1
"70",70,"deviance",38.2792475730709,1
"71",71,"deviance",35.8673173347007,1
"72",72,"deviance",38.0862929551748,1
"73",73,"deviance",39.7544350728217,1
"74",74,"deviance",45.3694053246502,1
"75",75,"deviance",39.8641928940918,1
"76",76,"deviance",38.0402089821104,1
"77",77,"deviance",38.6099218943281,1
"78",78,"deviance",38.1733147223836,1
"79",79,"deviance",38.1258313695081,1
"80",80,"deviance",37.0718429506563,1
"81",81,"deviance",35.9155447038058,1
"82",82,"deviance",38.0131543246035,1
"83",83,"deviance",37.7235031807273,1
"84",84,"deviance",42.3358362303397,1
"85",85,"deviance",42.3027744606326,1
"86",86,"deviance",41.5142491984713,1
"87",87,"deviance",38.9244280670764,1
"88",88,"deviance",35.4687491074255,1
"89",89,"deviance",35.1882389189074,1
"90",90,"deviance",35.380928623825,1
"91",91,"deviance",37.3064834992306,1
"92",92,"deviance",41.2226420991898,1
"93",93,"deviance",37.6847024892615,1
"94",94,"deviance",37.050350516207,1
"95",95,"deviance",34.9519159085296,1
"96",96,"deviance",39.0791193750133,1
"97",97,"deviance",34.9005869912974,1
"98",98,"deviance",35.8659970924694,1
"99",99,"deviance",43.8337735769322,1
"100",100,"deviance",38.0428419712554,1
"101",101,"deviance",41.8101388108915,1
"102",102,"deviance",37.0175853113263,1
"103",103,"deviance",39.1205911761284,1
"104",104,"deviance",35.349074863264,1
"105",105,"deviance",35.6511781946652,1
"106",106,"deviance",35.4585306747602,1
"107",107,"deviance",35.4020259632929,1
"108",108,"deviance",39.5181491687358,1
"109",109,"deviance",47.6617576118283,1
"110",110,"deviance",34.8332597035095,1
"111",111,"deviance",42.1401398208795,1
"112",112,"deviance",39.7667758404557,1
"113",113,"deviance",38.3131445666598,1
"114",114,"deviance",39.3928958578885,1
"115",115,"deviance",37.599571797487,1
"116",116,"deviance",38.386588886847,1
"117",117,"deviance",36.6143127690296,1
"118",118,"deviance",39.4019879296538,1
"119",119,"deviance",38.4900407423947,1
"120",120,"deviance",36.0798405164657,1
"121",121,"deviance",34.8673062375289,1
"122",122,"deviance",42.6131172441644,1
"123",123,"deviance",34.8762328876604,1
"124",124,"deviance",35.4672086976687,1
"125",125,"deviance",43.3628378984515,1
"126",126,"deviance",35.178427549788,1
"127",127,"deviance",47.2849607161165,1
"128",128,"deviance",41.7418362777352,1
"129",129,"deviance",42.4253386319042,1
"130",130,"deviance",34.9373458400486,1
"131",131,"deviance",41.1888040514092,1
"132",132,"deviance",35.6921790780338,1
"133",133,"deviance",35.2379221923695,1
"134",134,"deviance",43.0682017469678,1
"135",135,"deviance",40.7950250219619,1
"136",136,"deviance",43.1775931313491,1
"137",137,"deviance",35.2688664700095,1
"138",138,"deviance",37.2661152640958,1
"139",139,"deviance",44.4881295964275,1
"140",140,"deviance",38.3985282923073,1
"141",141,"deviance",36.0350082195743,1
"142",142,"deviance",35.5942780442242,1
"143",143,"deviance",34.8320568721368,1
"144",144,"deviance",35.1886458942168,1
"145",145,"deviance",36.7727833338535,1
"146",146,"deviance",36.2521498151094,1
"147",147,"deviance",37.1052714167557,1
"148",148,"deviance",40.7752344410782,1
"149",149,"deviance",36.1166853524368,1
"150",150,"deviance",34.9065222816454,1
"151",151,"deviance",39.6542237407036,1
"152",152,"deviance",35.8922260928653,1
"153",153,"deviance",35.6001782926315,1
"154",154,"deviance",36.0185688568876,1
"155",155,"deviance",37.8966755607727,1
"156",156,"deviance",38.0829899956094,1
"157",157,"deviance",35.6870772137894,1
"158",158,"deviance",36.2926872383705,1
"159",159,"deviance",48.8544529936906,1
"160",160,"deviance",36.7252914401908,1
"161",161,"deviance",42.4192770616644,1
"162",162,"deviance",37.9324977656009,1
"163",163,"deviance",45.3252494101214,1
"164",164,"deviance",35.033455000047,1
"165",165,"deviance",42.6951587350179,1
"166",166,"deviance",40.0789505422174,1
"167",167,"deviance",36.3008351544297,1
"168",168,"deviance",37.5943550239632,1
"169",169,"deviance",36.9365872193439,1
"170",1,"K",7.82129910288941,1
"171",2,"K",18.9373233492246,1
"172",3,"K",8.86110988581074,1
"173",4,"K",6.98527378278555,1
"174",5,"K",7.97989837725051,1
"175",6,"K",7.65195497572524,1
"176",7,"K",7.1998544885549,1
"177",8,"K",7.75178229161269,1
"178",9,"K",7.75844328163474,1
"179",10,"K",7.74820837085714,1
"180",11,"K",7.41762072856117,1
"181",12,"K",7.84965709565284,1
"182",13,"K",7.13342477346228,1
"183",14,"K",7.37076365735683,1
"184",15,"K",7.73068304507728,1
"185",16,"K",7.63234384377919,1
"186",17,"K",7.70640937467768,1
"187",18,"K",7.72465452354633,1
"188",19,"K",7.75322912711861,1
"189",20,"K",7.81900707437455,1
"190",21,"K",7.44473578937197,1
"191",22,"K",7.85573911161694,1
"192",23,"K",7.72034148075094,1
"193",24,"K",7.55674238155679,1
"194",25,"K",7.80686012708124,1
"195",26,"K",7.61782980966963,1
"196",27,"K",7.87240027894641,1
"197",28,"K",7.56378030520252,1
"198",29,"K",7.21528732621484,1
"199",30,"K",7.60813541362793,1
"200",31,"K",8.28281592851618,1
"201",32,"K",6.85161117654374,1
"202",33,"K",7.5539622828208,1
"203",34,"K",8.00412382361673,1
"204",35,"K",7.42556372102445,1
"205",36,"K",8.04180098620226,1
"206",37,"K",7.84061729251047,1
"207",38,"K",7.41608906703649,1
"208",39,"K",7.77158749704726,1
"209",40,"K",19.1454694009995,1
"210",41,"K",7.44275977803717,1
"211",42,"K",9.4308971654148,1
"212",43,"K",21.4542031507767,1
"213",44,"K",26.3900177207517,1
"214",45,"K",7.44296372647777,1
"215",46,"K",7.56143384422946,1
"216",47,"K",7.63055342334463,1
"217",48,"K",7.62686218737562,1
"218",49,"K",7.61798027753253,1
"219",50,"K",7.63864930021663,1
"220",51,"K",13.1379441827927,1
"221",52,"K",7.60057358548412,1
"222",53,"K",7.34276191164216,1
"223",54,"K",7.33987176508661,1
"224",55,"K",7.563515233274,1
"225",56,"K",16.0781425200102,1
"226",57,"K",7.15468535794276,1
"227",58,"K",7.59066581873319,1
"228",59,"K",7.76966168794686,1
"229",60,"K",7.83273813424908,1
"230",61,"K",7.54696950705041,1
"231",62,"K",8.64111749592407,1
"232",63,"K",7.45978729109411,1
"233",64,"K",7.13979917778349,1
"234",65,"K",7.7209719426153,1
"235",66,"K",7.38156940236095,1
"236",67,"K",7.69397921188183,1
"237",68,"K",7.38197388932883,1
"238",69,"K",7.76330215823745,1
"239",70,"K",8.44352126637622,1
"240",71,"K",7.45113852273764,1
"241",72,"K",8.22281661443545,1
"242",73,"K",8.33702497747317,1
"243",74,"K",37.7336159293167,1
"244",75,"K",8.45493571150621,1
"245",76,"K",8.34007684954331,1
"246",77,"K",7.53624810419494,1
"247",78,"K",7.2020746168798,1
"248",79,"K",8.21536863584405,1
"249",80,"K",7.42865067286065,1
"250",81,"K",7.60493830958329,1
"251",82,"K",7.66130774016584,1
"252",83,"K",7.219523820759,1
"253",84,"K",10.6824571931816,1
"254",85,"K",14.3527717544387,1
"255",86,"K",7.30975770980784,1
"256",87,"K",7.20009368521605,1
"257",88,"K",7.41692186573068,1
"258",89,"K",7.88058862703621,1
"259",90,"K",7.5117021082972,1
"260",91,"K",7.67875470800697,1
"261",92,"K",8.54792792870769,1
"262",93,"K",8.02059439221656,1
"263",94,"K",7.62815618020077,1
"264",95,"K",7.842890536735,1
"265",96,"K",7.56652811364595,1
"266",97,"K",7.62081692661634,1
"267",98,"K",7.81869787171295,1
"268",99,"K",7.9877263832614,1
"269",100,"K",7.5987005636686,1
"270",101,"K",8.89910051634276,1
"271",102,"K",7.93230920994743,1
"272",103,"K",7.28569329241861,1
"273",104,"K",7.58856940806118,1
"274",105,"K",7.88394652330948,1
"275",106,"K",7.43033089316155,1
"276",107,"K",7.44733552044064,1
"277",108,"K",7.95492916572212,1
"278",109,"K",19.5895942198322,1
"279",110,"K",7.55174480351298,1
"280",111,"K",7.22421417199792,1
"281",112,"K",8.27349019960508,1
"282",113,"K",8.46971890729945,1
"283",114,"K",7.08240808598034,1
